"dispersal_scale","sigma","divergence_threshold","model","NSP","LDG","Occ","Gamma","PD","MPD","MNTD","MBS","SDBS","MT","SDT","TBS"
618.616600790514,0.0025296442687747,2.66798418972332,"SA_model_58",10,0.13658474362891,0.977426636568849,-4.16721134890334,0.752265702059014,0.752265702059056,0.752265702059056,0.582574235106183,0.00997741985099279,0.930761294633657,0.0621639937799379,0.336363636363636
393.98418972332,0.00708300395256917,1.65612648221344,"SA_model_59",44,0.501996706480661,0.975169300225734,2.23673437499521,0.919646909956002,0.971810870628998,0.971810870628998,0.728006361186832,0.0229231904935686,1.08798908693,0.0616491283619146,0.219756897549682
337.826086956522,0.00139130434782609,2.41501976284585,"SA_model_60",53,0.532619012425392,0.972911963882618,50.8070952408005,1.10963055367989,1.07828273588933,1.07828273588933,0.544770265127779,0.00441516491360062,0.893989362800537,0.0473628087281095,0.0495864880605708
562.458498023715,0.00594466403162055,1.40316205533597,"SA_model_61",23,0.397710445799023,0.977426636568849,0.545418972721566,1.3060444161638,0.956351894580636,0.956351894580636,0.695571630165519,0.0209482663387714,1.07569290049982,0.048039075781345,-0.166666666666667
450.142292490119,0.00366798418972332,1.90909090909091,"SA_model_62",15,0.344243254123959,0.975169300225734,-2.4813750130061,0.905546659461291,0.991397761558486,0.991397761558486,0.623407959778617,0.0123009664288794,0.972919713203951,0.0482233833845082,0.1
225.509881422925,0.00822134387351779,2.92094861660079,"SA_model_63",809,0.200641976639728,0.972911963882618,-109.243796106155,-1.39013509855513,-1.28292819415883,-1.28292819415883,0.765115920915599,0.0286232638034863,1.07486782771721,0.0554271393200592,0.277053962219342
229.01976284585,0.00459288537549407,1.89328063241107,"SA_model_64",2133,0.19935139140996,0.975169300225734,-299.200898844699,0.415424205034929,1.15913137438033,1.15913137438033,0.649871360451175,0.0169848382328352,0.913472254881616,0.0499870557406077,-0.116535537676736
453.652173913043,0.00914624505928854,2.90513833992095,"SA_model_65",10,0.179958612691162,0.975169300225734,-4.89897948556636,-2.24550751707481e-16,0,0,0.802161210178164,0.0383479479718545,1.1230766306668,0.058550616335428,0.272727272727273
565.96837944664,0.00231620553359684,2.39920948616601,"SA_model_66",11,0.126603334832897,0.977426636568849,-3.70440377056634,0.598353589254549,0.598353589254516,0.598353589254516,0.580759684500435,0.0102664977416055,0.92759798828943,0.0604383410051545,-0.188811188811189
341.335968379447,0.0068695652173913,1.38735177865613,"SA_model_67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
